File Name,Total Number Of Sentences,Average Sentence Length,Average Word Length,Number of Uncommon Words,Number of Unique Words,Words with 1 to 3 syllables,Words with 4 syllables,Words with 5 syllables,Words with 6 syllables,Words with more than 7 syllables,Average number of syllables,'',CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
Baby Chatterbox.txt,365,8.230136986,5.001997337,3004,1408,663,21,0,0,724,1.423768309,0,0,7,2,0,2,19,284,5,9,7,451,0,0,142,0,1,0,102,1,0,0,0,0,0,46,92,87,54,53,41,0,1,1,1,1
PussInBoots.txt,18,13.83333333,5.273092369,249,180,76,3,1,0,100,1.481927711,0,0,2,0,0,0,3,34,2,0,2,62,0,0,12,0,0,0,10,2,0,0,0,0,0,9,17,3,12,9,1,0,0,0,0,1
THE GOOSE-GIRL.txt,71,14.26760563,4.895360316,1013,391,160,3,0,0,228,1.407699901,0,0,2,1,0,0,6,80,1,3,7,122,0,0,20,0,1,1,29,1,0,2,0,0,0,19,48,18,18,6,6,0,0,0,0,1
"THE STRAW, THE COAL, AND THE BEAN.txt",16,14.375,5.508695652,230,168,76,3,1,0,88,1.57826087,0,0,2,0,0,0,6,27,1,2,3,42,0,0,12,0,1,0,17,0,0,1,0,0,0,7,26,5,12,4,0,0,0,0,0,1
Adrift New York.txt,5122,4.797540023,5.551825174,24573,4396,2779,341,81,6,1189,1.675904448,0,2,15,3,0,11,38,959,19,25,8,1367,24,0,357,1,2,0,374,6,0,4,0,0,0,153,355,259,237,102,68,3,2,1,1,1
CAT AND MOUSE IN PARTNERSHIP.txt,33,13.36363636,5.077097506,441,254,108,3,2,0,141,1.473922902,0,0,1,2,0,0,5,44,1,0,3,89,0,0,12,0,1,0,25,2,0,0,0,0,0,8,26,5,14,10,5,0,0,0,1,1
CallWild.txt,1621,9.898827884,5.65212514,16046,4598,2844,319,57,15,1363,1.660600773,0,1,10,5,0,6,44,942,28,21,5,1218,2,0,498,0,2,0,346,13,1,2,0,0,0,87,520,430,247,123,41,2,2,1,1,2
Cook Journal.txt,9490,12.2540569,5.65847744,116291,8611,5624,756,148,18,2065,1.683698653,0,3,13,6,0,21,74,1698,38,42,8,2793,7,0,1245,0,1,0,440,17,2,8,0,0,0,193,553,545,301,409,187,4,1,1,1,3
Letters Muskoka.txt,1265,16.23794466,5.966749428,20541,5217,3307,451,87,7,1365,1.826590721,0,3,10,2,0,10,41,1033,21,33,7,1544,5,0,721,0,1,0,378,5,0,1,0,0,0,141,420,367,208,172,88,1,2,1,2,3
GS25.txt,2608,10.20858896,5.747596154,26624,6637,4237,500,98,15,1787,1.727764423,0,3,11,4,0,26,68,1358,21,29,8,2060,1,0,762,0,2,1,463,13,2,6,0,0,0,121,570,480,331,194,95,3,2,1,2,2
WutheringHeights.txt,6816,8.029782864,5.928376971,54731,9077,5922,819,151,24,2161,1.790045861,0,4,12,3,0,6,60,1805,40,38,7,2705,21,0,1033,0,2,1,635,19,0,8,0,0,1,249,767,905,433,190,125,2,2,1,3,3
Fairy Tales ECSK.txt,4337,11.17431404,5.619421002,48463,6611,4258,467,67,4,1815,1.67063533,0,2,10,3,0,5,44,1299,29,53,7,1977,13,0,936,0,3,0,372,9,0,5,0,1,0,220,575,464,295,166,113,3,2,1,4,1
FavFables.txt,1238,10.22294023,5.588574589,12656,4265,2497,230,28,4,1506,1.642225032,0,2,8,4,0,3,35,891,18,23,7,1359,7,0,452,0,4,0,265,9,0,3,0,0,1,114,342,302,197,136,74,1,5,1,2,1
THE TWELVE DANCING PRINCESSES.txt,37,18.05405405,5.446107784,668,348,167,4,1,0,176,1.556886228,0,0,2,2,0,0,7,76,2,2,3,81,0,0,28,0,1,0,27,3,1,0,0,0,0,15,43,17,24,9,3,2,0,0,0,1
Dog.txt,7635,10.93149967,6.175756632,83462,9676,6212,1068,275,38,2083,1.941218758,1,7,13,3,0,7,62,2000,39,59,9,2726,9,0,1355,0,1,0,621,14,0,6,1,0,0,340,629,791,381,323,274,3,0,1,1,3
HeartofDarkness.txt,2417,7.567645842,5.866163687,18291,5278,3285,453,98,12,1430,1.760319283,0,4,11,4,0,4,41,1161,22,24,9,1555,2,0,614,0,2,0,383,3,0,4,0,0,0,122,446,405,250,143,64,1,3,1,0,3
